time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,aqi
2021-03-16 00:00:00,20.5,61.0,0.0,8.7,99.92262417776858
2021-03-16 01:00:00,20.0,61.0,0.0,10.0,94.98332735931183
2021-03-16 02:00:00,19.2,62.0,0.0,8.7,104.74444487339483
2021-03-16 03:00:00,18.4,65.0,0.0,7.8,114.83868835103854
2021-03-16 04:00:00,17.7,68.0,0.0,6.9,106.16475471390213
2021-03-16 05:00:00,17.2,75.0,0.0,7.3,108.46907301835824
2021-03-16 06:00:00,17.4,74.0,0.0,8.8,118.4751148152417
2021-03-16 07:00:00,18.9,69.0,0.0,11.4,106.76507482107287
2021-03-16 08:00:00,22.1,58.0,0.0,10.6,96.3375076354208
2021-03-16 09:00:00,25.2,48.0,0.0,11.7,98.0653996612841
2021-03-16 10:00:00,27.9,38.0,0.0,13.3,84.20170125700274
2021-03-16 11:00:00,29.9,31.0,0.0,14.3,78.90606919251833
2021-03-16 12:00:00,31.2,27.0,0.0,14.2,81.1543610076522
2021-03-16 13:00:00,32.0,24.0,0.0,16.2,59.70711103326522
2021-03-16 14:00:00,32.2,22.0,0.0,18.0,55.24620027909876
2021-03-16 15:00:00,32.0,22.0,0.0,18.5,60.737758152510786
2021-03-16 16:00:00,31.5,22.0,0.0,18.8,55.54760403407349
2021-03-16 17:00:00,30.0,29.0,0.0,16.4,70.13294982454435
2021-03-16 18:00:00,27.5,35.0,0.0,11.0,71.99945657804149
2021-03-16 19:00:00,25.9,38.0,0.0,10.1,70.69209258703039
2021-03-16 20:00:00,24.2,43.0,0.0,8.4,95.68196325886532
2021-03-16 21:00:00,22.5,48.0,0.0,7.2,88.25833675379184
2021-03-16 22:00:00,21.8,50.0,0.0,7.2,92.35332253950543
2021-03-16 23:00:00,20.9,52.0,0.0,9.0,80.89183544237561
2021-03-17 00:00:00,20.0,54.0,0.0,9.8,88.03540691809576
2021-03-17 01:00:00,20.1,52.0,0.0,9.0,95.47809647856126
2021-03-17 02:00:00,18.5,57.0,0.0,7.9,91.58413094781594
2021-03-17 03:00:00,18.1,60.0,0.0,7.7,105.15782636768412
2021-03-17 04:00:00,17.9,59.0,0.0,9.6,95.73481839061594
2021-03-17 05:00:00,17.5,67.0,0.0,8.6,103.11663635153165
2021-03-17 06:00:00,17.7,66.0,0.0,9.0,100.23913970416625
2021-03-17 07:00:00,19.3,62.0,0.0,10.0,114.66443989164713
2021-03-17 08:00:00,22.8,51.0,0.0,8.1,101.94980864688202
2021-03-17 09:00:00,26.1,43.0,0.0,9.2,90.0739637365731
2021-03-17 10:00:00,28.8,34.0,0.0,10.8,96.76390037449438
2021-03-17 11:00:00,30.8,29.0,0.0,9.7,81.66073280079503
